State,District,Block/Taluka,Stage of Ground Water Extraction (%),Category
Andhra Pradesh,Anantapur,Anantapur,112.4,Over-Exploited
Arunachal Pradesh,Papum Pare,Yupia,48.6,Safe
Assam,Kamrup,Dispur,58.6,Safe
Bihar,Patna,Danapur,76.5,Semi-Critical
Chhattisgarh,Raipur,Abhanpur,69.8,Safe
Goa,North Goa,Bardez,82.1,Semi-Critical
Gujarat,Mehsana,Visnagar,142.6,Over-Exploited
Haryana,Gurugram,Gurugram,125.8,Over-Exploited
Himachal Pradesh,Kangra,Palampur,61.2,Safe
Jharkhand,Ranchi,Ormanjhi,73.4,Semi-Critical
Karnataka,Bengaluru Urban,North,65.2,Safe
Kerala,Thrissur,Mukundapuram,55.9,Safe
Madhya Pradesh,Indore,Depalpur,95.1,Critical
Maharashtra,Pune,Haveli,70.5,Semi-Critical
Manipur,Imphal West,Lamphelpat,67.3,Safe
Meghalaya,East Khasi Hills,Mylliem,52.8,Safe
Mizoram,Aizawl,Aizawl,49.6,Safe
Nagaland,Kohima,Kohima,59.4,Safe
Odisha,Cuttack,Salepur,69.4,Safe
Punjab,Amritsar,Ajnala,130.0,Over-Exploited
Rajasthan,Jaipur,Amber,110.5,Over-Exploited
Sikkim,East Sikkim,Gangtok,46.2,Safe
Tamil Nadu,Chennai,Sholinganallur,128.9,Over-Exploited
Telangana,Rangareddy,Chevella,96.8,Critical
Tripura,West Tripura,Jirania,62.7,Safe
Uttar Pradesh,Kanpur Nagar,Bilhaur,132.4,Over-Exploited
Uttarakhand,Dehradun,Vikasnagar,74.8,Semi-Critical
West Bengal,Howrah,Udaynarayanpur,81.6,Semi-Critical